COMPANY LIST,URL TERM
JFE Holdings,jfe-holdings
Vale,vale
Tenaga Nasional,tenaga-nasional
Resona Holdings,resona-holdings
Toyota Industries,toyota-industries
Daiwa Securities,daiwa-securities
Fifth Third Bancorp,fifth-third-bancorp
United Continental Holdings,united-continental-holdings
H&M,h&m
Chesapeake Energy,chesapeake-energy
Amazon.com,amazon.com
Intesa Sanpaolo,intesa-sanpaolo
Paccar,paccar
Aon,aon
Xerox,xerox
Hana Financial Group,hana-financial-group
Etisalat,etisalat
Loews,loews
Tokyo Electric Power,tokyo-electric-power
CIMB Group Holdings,cimb-group-holdings
SK Telecom,sk-telecom
TJX Cos,tjx-cos
Charles Schwab,charles-schwab
Associated British Foods,associated-british-foods
Tesco,tesco
Principal Financial Group,principal-financial-group
Mitsubishi Estate,mitsubishi-estate
GFNorte,gfnorte
Ageas,ageas
Repsol YPF,repsol-ypf
Sempra Energy,sempra-energy
T&D Holdings,t&d-holdings
New China Life Insurance,new-china-life-insurance
FirstRand,firstrand
Aeon,aeon
Akzo Nobel,akzo-nobel
Bank Mandiri,bank-mandiri
Rogers Communications,rogers-communications
Swiss Life Holding,swiss-life-holding
Novatek,novatek
Corning,corning
Fujifilm Holdings,fujifilm-holdings
Bank Rakyat Indonesia,bank-rakyat-indonesia
CEZ Group,cez-group
Consolidated Edison,consolidated-edison
Akbank,akbank
Micron Technology,micron-technology
Covidien,covidien
Progressive,progressive
Saudi Electricity,saudi-electricity
ArcelorMittal,arcelormittal
Alstom,alstom
National Bank of Canada,national-bank-of-canada
Formosa Petrochemical,formosa-petrochemical
Cummins,cummins
SK Innovation,sk-innovation
TE Connectivity,te-connectivity
Ecolab,ecolab
Larsen & Toubro,larsen-&-toubro
Gree Electric Appliances,gree-electric-appliances
Public Service Enterprise,public-service-enterprise
Piraeus Bank,piraeus-bank
Precision Castparts,precision-castparts
RWE Group,rwe-group
MasterCard,mastercard
Fortescue Metals Group,fortescue-metals-group
Kellogg,kellogg
Kirin Holdings,kirin-holdings
Facebook,facebook
Poly Real Estate,poly-real-estate
Baoshan Iron & Steel,baoshan-iron-&-steel
Fortum,fortum
Atlas Copco,atlas-copco
Norilsk Nickel,norilsk-nickel
Cheung Kong Holdings,cheung-kong-holdings
Toyota Tsusho,toyota-tsusho
Sysco,sysco
Tatneft,tatneft
DISH Network,dish-network
Safeway,safeway
Adidas,adidas
Cenovus Energy,cenovus-energy
Korea Electric Power,korea-electric-power
Omnicom Group,omnicom-group
Cardinal Health,cardinal-health
Thales,thales
Otsuka Holding,otsuka-holding
Grupo Mexico,grupo-mexico
CLP Holdings,clp-holdings
Swire Pacific,swire-pacific
Kyocera,kyocera
Marsh & McLennan,marsh-&-mclennan
China Resources Land,china-resources-land
HDFC,hdfc
Raiffeisen Bank International,raiffeisen-bank-international
Shin-Etsu Chemical,shin-etsu-chemical
CIC Group,cic-group
Suncorp Group,suncorp-group
Kubota,kubota
SCA,sca
Tata Consultancy Services,tata-consultancy-services
Siam Commercial Bank,siam-commercial-bank
TELUS,telus
Aisin Seiki,aisin-seiki
Daikin Industries,daikin-industries
LG Chem,lg-chem
Vivendi,vivendi
Transocean,transocean
Mazda Motor,mazda-motor
Anglo American,anglo-american
Evonik,evonik
Grupo Aval,grupo-aval
Compass Group,compass-group
Kasikornbank,kasikornbank
Commerzbank,commerzbank
Ferrovial,ferrovial
Xcel Energy,xcel-energy
J Sainsbury,j-sainsbury
Lotte Shopping,lotte-shopping
Franklin Resources,franklin-resources
Daiwa House Industry,daiwa-house-industry
Sabanci Holding,sabanci-holding
Grupo Modelo,grupo-modelo
Carlsberg,carlsberg
Lenovo Group,lenovo-group
Al Rajhi Bank,al-rajhi-bank
Hartford Financial Services,hartford-financial-services
Kingfisher,kingfisher
Keppel Corp,keppel-corp
Simon Property Group,simon-property-group
Tenaris,tenaris
Regions Financial,regions-financial
Telecom Italia,telecom-italia
Southwest Airlines,southwest-airlines
Western Digital,western-digital
Porsche Automobil Holding,porsche-automobil-holding
Tokyo Gas,tokyo-gas
Woodside Petroleum,woodside-petroleum
Deutsche Lufthansa,deutsche-lufthansa
Falabella,falabella
Bankia,bankia
Potash of Saskatchewan,potash-of-saskatchewan
Sumitomo Electric,sumitomo-electric
Public Bank,public-bank
Alpha Bank,alpha-bank
Air Products & Chemicals,air-products-&-chemicals
Sumitomo Realty,sumitomo-realty
Publicis Groupe,publicis-groupe
Entergy,entergy
ASML Holding,asml-holding
SLM,slm
ConAgra Foods,conagra-foods
Reynolds American,reynolds-american
China Resources Power,china-resources-power
Samsung Fire & Marine,samsung-fire-&-marine
Unum Group,unum-group
Sime Darby,sime-darby
George Weston,george-weston
Evergrande Real Estate,evergrande-real-estate
Agrium,agrium
Mosaic,mosaic
Anhui Conch Cement,anhui-conch-cement
Teck Resources,teck-resources
Banco Popular Espanol,banco-popular-espanol
Swatch Group,swatch-group
National Bank of Greece,national-bank-of-greece
Stryker,stryker
Delphi Automotive,delphi-automotive
Spectra Energy,spectra-energy
Tyson Foods,tyson-foods
FirstEnergy,firstenergy
Sodexo,sodexo
Biogen Idec,biogen-idec
Abertis,abertis
Astellas Pharma,astellas-pharma
M&T Bank,m&t-bank
Murphy Oil,murphy-oil
Formosa Chemicals,formosa-chemicals
Hyundai Heavy Industries,hyundai-heavy-industries
Liberty Global,liberty-global
Unibail-Rodamco,unibail-rodamco
PKO Bank Polski,pko-bank-polski
ThyssenKrupp Group,thyssenkrupp-group
Bharti Airtel,bharti-airtel
Siam Cement,siam-cement
Adecco,adecco
Seadrill,seadrill
Celgene,celgene
Axis Bank,axis-bank
Nokia,nokia
MTR,mtr
Country Garden Holdings,country-garden-holdings
Quanta Computer,quanta-computer
British Sky Broadcasting,british-sky-broadcasting
Mitsubishi Motors,mitsubishi-motors
JBS,jbs
Couche Tard,couche-tard
National Bank of Abu Dhabi,national-bank-of-abu-dhabi
Dollar General,dollar-general
Daqin Railway,daqin-railway
Metro Group,metro-group
Parker-Hannifin,parker-hannifin
Bancolombia,bancolombia
PGE,pge
Asahi Kasei,asahi-kasei
Fast Retailing,fast-retailing
Whirlpool,whirlpool
Sandvik,sandvik
China National Building,china-national-building
Liberty Media,liberty-media
Kohl's,kohl's
Genworth Financial,genworth-financial
BAE Systems,bae-systems
Priceline.com,priceline.com
Annaly Capital Management,annaly-capital-management
Chunghwa Telecom,chunghwa-telecom
VF,vf
Halkbank,halkbank
Bouygues,bouygues
Bank Central Asia,bank-central-asia
CME Group,cme-group
Asahi Group Holdings,asahi-group-holdings
MegaFon,megafon
CenturyLink,centurylink
SK Holdings,sk-holdings
