URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
shkp,,,,,
ameriprise-financial,Ameriprise Financial,Ameriprise,,,
international-paper,International Paper,,,,
gilead-sciences,Gilead Sciences,,,,
huaxia-bank,Huaxia Bank,,,,
kimberly-clark,Kimberly-Clark,Kimberly Clark,,,
united-overseas-bank,United Overseas Bank,,,,
cbs,CBS,,,,
toshiba,Toshiba,,,,
kb-financial-group,KB Financial Group,KB Financial,,,
richemont,Richemont,,,,
merck,Merck,,,,
femsa,Femsa,,,,
marathon-oil,Marathon Oil,,,,
carnival,Carnival,,,,
mapfre,Mapfre,,,,
freddie-mac,Freddie Mac,,,,
mtn-group,MTN Group,MTN,,,
mtn,,,,,
general-mills,General Mills,,,,
viacom,Viacom,,,,
lafarge,Lafarge,,,,
grupo-acs,Grupo ACS,,,,
thermo-fisher-scientific,Thermo Fisher Scientific,,,,
sistema,Sistema,,,,
baker-hughes,Baker Hughes,,,,
automatic-data,Automatic Data,,,,
canadian-national-railway,Canadian National Railway,,,,
orix,Orix,,,,
talanx,Talanx,,,,
transcanada,TransCanada,,,,
lloyds-banking-group,Lloyds Banking Group,Lloyds,,,
lloyds,,,,,
isbank,Isbank,,,,
saudi-telecom,Saudi Telecom,,,,
csx,CSX,,,,
norfolk-southern,Norfolk Southern,,,,
lincoln-national,Lincoln National,,,,
macy's,Macy's,,,,
macys,,,,,
pernod-ricard,Pernod Ricard,,,,
novo-nordisk,Novo Nordisk,,,,
cathay-financial,Cathay Financial,,,,
huaneng-power-international,Huaneng Power International,Huaneng Power,,,
royal-ahold,Royal Ahold,,,,
suntrust-banks,SunTrust Banks,SunTrust,,,
nksj-holdings,NKSJ Holdings,NKSJ,,,
gdf-suez,GDF SUEZ,,,,
glencore-international,Glencore International,,,,
qatar-national-bank,Qatar National Bank,,,,
sampo,Sampo,,,,
magna-international,Magna International,Magna,,,
komatsu,Komatsu,,,,
fubon-financial,Fubon Financial,Fubon,,,
fubon,,,,,
inpex,Inpex,,,,
pg&e,PG&E,PG & E,,,
garanti-bank,Garanti Bank,Garanti,,,
illinois-tool-works,Illinois Tool Works,,,,
indian-oil,Indian Oil,,,,
mitsui-fudosan,Mitsui Fudosan,,,,
humana,Humana,,,,
fuji-heavy-industries,Fuji Heavy Industries,Fuji Heavy,,,
syngenta,Syngenta,,,,
hdfc-bank,HDFC Bank,,,,
texas-instruments,Texas Instruments,,,,
colgate-palmolive,Colgate-Palmolive,Colgate Palmolive,,,
ntpc,NTPC,,,,
royal-bank-of-scotland,Royal Bank of Scotland,,,,
tencent-holdings,Tencent Holdings,Tencent,,,
tencent,,,,,
swisscom,Swisscom,,,,
coal-india,Coal India,,,,
bank-of-beijing,Bank of Beijing,,,,
ppl,PPL,,,,
amp,AMP,,,,
macquarie-group,Macquarie Group,Macquarie,,,
macquarie,,,,,
prudential-financial,Prudential Financial,,,,
heidelbergcement,HeidelbergCement,,,,
unicredit-group,UniCredit Group,UniCredit,,,
unicredit,,,,,
suzuki-motor,Suzuki Motor,Suzuki,,,
suzuki,,,,,
praxair,Praxair,,,,
edison-international,Edison International,,,,
sk-hynix,SK Hynix,,,,
ppg-industries,PPG Industries,,,,
jfe-holdings,JFE Holdings,JFE,,,
vale,Vale,,,,
tenaga-nasional,Tenaga Nasional,,,,
resona-holdings,Resona Holdings,Resona,,,
toyota-industries,Toyota Industries,,,,
daiwa-securities,Daiwa Securities,,,,
fifth-third-bancorp,Fifth Third Bancorp,,,,
united-continental-holdings,United Continental Holdings,United Continental,,,
united-continental,,,,,
h&m,H&M,,,,
chesapeake-energy,Chesapeake Energy,,,,
chesapeake,,,,,
amazon.com,Amazon.com,Amazon,,,
amazon,,,,,
intesa-sanpaolo,Intesa Sanpaolo,,,,
paccar,Paccar,,,,
aon,Aon,,,,
xerox,Xerox,,,,
hana-financial-group,Hana Financial Group,Hana Financial,,,
hana-financial,,,,,
etisalat,Etisalat,,,,
loews,Loews,,,,
tokyo-electric-power,Tokyo Electric Power,,,,
cimb-group-holdings,CIMB Group Holdings,CIMB,,,
sk-telecom,SK Telecom,,,,
tjx-cos,TJX Cos,,,,
charles-schwab,Charles Schwab,,,,
associated-british-foods,Associated British Foods,,,,
tesco,Tesco,,,,
principal-financial-group,Principal Financial Group,,,,
mitsubishi-estate,Mitsubishi Estate,,,,
gfnorte,GFNorte,,,,
ageas,Ageas,,,,
repsol-ypf,Repsol YPF,,,,
sempra-energy,Sempra Energy,,,,
t&d-holdings,T&D Holdings,T&D,,,
new-china-life-insurance,New China Life Insurance,,,,
firstrand,FirstRand,,,,
aeon,Aeon,,,,
akzo-nobel,Akzo Nobel,,,,
bank-mandiri,Bank Mandiri,,,,
rogers-communications,Rogers Communications,,,,
swiss-life-holding,Swiss Life Holding,Swiss Life,,,
novatek,Novatek,,,,
corning,Corning,,,,
fujifilm-holdings,Fujifilm Holdings,Fujifilm,,,
fujifilm,,,,,
bank-rakyat-indonesia,Bank Rakyat Indonesia,,,,
cez-group,CEZ Group,CEZ,,,
cez,,,,,
consolidated-edison,Consolidated Edison,,,,
akbank,Akbank,,,,
micron-technology,Micron Technology,,,,
covidien,Covidien,,,,
saudi-electricity,Saudi Electricity,,,,
arcelormittal,ArcelorMittal,,,,
alstom,Alstom,,,,
national-bank-of-canada,National Bank of Canada,,,,
formosa-petrochemical,Formosa Petrochemical,,,,
cummins,Cummins,,,,
sk-innovation,SK Innovation,,,,
te-connectivity,TE Connectivity,,,,
ecolab,Ecolab,,,,
larsen-&-toubro,Larsen & Toubro,Larsen&Toubro,,,
larsen&toubro,,,,,
gree-electric-appliances,Gree Electric Appliances,Gree,,,
gree,,,,,
public-service-enterprise,Public Service Enterprise,,,,
piraeus-bank,Piraeus Bank,,,,
precision-castparts,Precision Castparts,,,,
rwe-group,RWE Group,RWE,,,
mastercard,MasterCard,Mastercard,,,
fortescue-metals-group,Fortescue Metals Group,Fortescue,,,
fortescue-metals,,,,,
kellogg,Kellogg,,,,
kirin-holdings,Kirin Holdings,Kirin,,,
facebook,Facebook,,,,
poly-real-estate,Poly Real Estate,,,,
baoshan-iron-&-steel,Baoshan Iron & Steel,Baoshan,,,
baoshan-iron&steel,,,,,
fortum,Fortum,,,,
atlas-copco,Atlas Copco,,,,
norilsk-nickel,Norilsk Nickel,,,,
cheung-kong-holdings,Cheung Kong Holdings,Cheung Kong,,,
toyota-tsusho,Toyota Tsusho,,,,
sysco,Sysco,,,,
tatneft,Tatneft,,,,
dish-network,DISH Network,,,,
safeway,Safeway,,,,
adidas,Adidas,,,,
cenovus-energy,Cenovus Energy,Cenovus,,,
cenovus,,,,,
korea-electric-power,Korea Electric Power,,,,
omnicom-group,Omnicom Group,Omnicom,,,
omnicom,,,,,
cardinal-health,Cardinal Health,,,,
thales,Thales,,,,
otsuka-holding,Otsuka Holding,Otsuka,,,
grupo-mexico,Grupo Mexico,,,,
clp-holdings,CLP Holdings,CLP,,,
swire-pacific,Swire Pacific,,,,
kyocera,Kyocera,,,,
marsh-&-mclennan,Marsh & McLennan,Marsh&McLennan,,,
marsh&mclennan,,,,,
china-resources-land,China Resources Land,,,,
hdfc,HDFC,,,,
raiffeisen-bank-international,Raiffeisen Bank International,Raiffeisen,,,
raiffeisen-bank,,,,,
shin-etsu-chemical,Shin-Etsu Chemical,,,,
cic-group,CIC Group,CIC,,,
suncorp-group,Suncorp Group,Suncorp,,,
suncorp,,,,,
kubota,Kubota,,,,
sca,SCA,,,,
tata-consultancy-services,Tata Consultancy Services,Tata Consultancy,,,
tata-consultancy,,,,,
siam-commercial-bank,Siam Commercial Bank,Siam Bank,,,
telus,TELUS,,,,
aisin-seiki,Aisin Seiki,,,,
daikin-industries,Daikin Industries,Daikin,,,
daikin,,,,,
lg-chem,LG Chem,,,,
vivendi,Vivendi,,,,
transocean,Transocean,,,,
mazda-motor,Mazda Motor,Mazda,,,
mazda,,,,,
anglo-american,Anglo American,,,,
evonik,Evonik,,,,
grupo-aval,Grupo Aval,,,,
compass-group,Compass Group,Compass,,,
kasikornbank,Kasikornbank,,,,
commerzbank,Commerzbank,,,,
ferrovial,Ferrovial,,,,
xcel-energy,Xcel Energy,Xcel,,,
j-sainsbury,J Sainsbury,Sainsbury's,,,
sainsbury's,,,,,
sainsburys,,,,,
lotte-shopping,Lotte Shopping,,,,
franklin-resources,Franklin Resources,,,,
daiwa-house-industry,Daiwa House Industry,,,,
sabanci-holding,Sabanci Holding,Sabanci,,,
grupo-modelo,Grupo Modelo,,,,
carlsberg,Carlsberg,,,,
lenovo-group,Lenovo Group,Lenovo,,,
lenovo,,,,,
al-rajhi-bank,Al Rajhi Bank,Al Rajhi,,,
hartford-financial-services,Hartford Financial Services,,,,
kingfisher,Kingfisher,,,,
keppel-corp,Keppel Corp,Keppel,,,
simon-property-group,Simon Property Group,Simon Property,,,
simon-property,,,,,
tenaris,Tenaris,,,,
regions-financial,Regions Financial,,,,
telecom-italia,Telecom Italia,,,,
southwest-airlines,Southwest Airlines,,,,
western-digital,Western Digital,WD,WDC,,
porsche-automobil-holding,Porsche Automobil Holding,Porsche,,,
porsche,,,,,
tokyo-gas,Tokyo Gas,,,,
woodside-petroleum,Woodside Petroleum,,,,
