URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
pang-da-automobile-trade,Pang Da Automobile Trade,,,,
cc-media-holdings,CC Media Holdings,Cc Media,,,
cc-media,,,,,
oriental-bank-of-commerce,Oriental Bank of Commerce,,,,
integrys-energy-group,Integrys Energy Group,Integrys Energy,,,
integrys-energy,,,,,
bank-of-nagoya,Bank of Nagoya,,,,
taiheiyo-cement,Taiheiyo Cement,,,,
icap,ICAP,,,,
financial-street-holdings,Financial Street Holdings,,,,
luzerner-kantonalbank,Luzerner Kantonalbank,,,,
air-canada,Air Canada,,,,
babcock-international-group,Babcock International Group,Babcock International,,,
babcock-international,,,,,
fraport,Fraport,,,,
dvb-bank,DVB Bank,,,,
volksbank,Volksbank,,,,
yang-quan-coal-industry,Yang Quan Coal Industry,,,,
st-galler-kantonalbank,St Galler Kantonalbank,,,,
yuanta-financial-holding,Yuanta Financial Holding,Yuanta Financial,,,
yuanta-financial,,,,,
metcash,Metcash,,,,
bank-of-iwate,Bank of Iwate,,,,
orkla,Orkla,,,,
tim-hortons,Tim Hortons,,,,
alliant-energy,Alliant Energy,,,,
dixons-retail,Dixons Retail,,,,
nsk,NSK,,,,
ackermans-&-van-haaren,Ackermans & van Haaren,Ackermans&Van Haaren,,,
ackermans&van-haaren,,,,,
bank-danamon-indonesia,Bank Danamon Indonesia,,,,
intercontinental-hotels,InterContinental Hotels,Intercontinental,,,
intercontinental,,,,,
ingredion,Ingredion,,,,
tosoh,Tosoh,,,,
nhpc,NHPC,,,,
symetra-financial,Symetra Financial,Symetra,,,
symetra,,,,,
fibi-holdings,FIBI Holdings,Fibi,,,
fibi,,,,,
sbi-holdings,SBI Holdings,Sbi,,,
sbi,,,,,
laurentian-bank,Laurentian Bank,,,,
ls-corp,LS Corp,,,,
bekb-bcbe,BEKB-BCBE,,,,
hero-motocorp,Hero Motocorp,,,,
cst-brands,CST Brands,,,,
aryzta,Aryzta,,,,
edwards-lifesciences,Edwards Lifesciences,,,,
new-media-investment-group,New Media Investment Group,New Media Investment,,,
new-media-investment,,,,,
pall,Pall,,,,
silver-wheaton,Silver Wheaton,,,,
dsv,DSV,,,,
amdocs,Amdocs,,,,
ems-chemie-holding,EMS-Chemie Holding,,,,
securitas,Securitas,,,,
hanjin-shipping,Hanjin Shipping,,,,
newcrest-mining,Newcrest Mining,,,,
yamanashi-chuo-bank,Yamanashi Chuo Bank,,,,
kesko,Kesko,,,,
andritz,Andritz,,,,
frontier-communications,Frontier Communications,,,,
oita-bank,Oita Bank,,,,
tongling-nonferrous-metals,Tongling Nonferrous Metals,,,,
kimberly-clark-de-mexico,Kimberly-Clark de Mexico,,,,
kuwait-projects,Kuwait Projects,,,,
packaging-corp-of-america,Packaging Corp of America,,,,
valiant-holding,Valiant Holding,,,,
daelim-industrial,Daelim Industrial,,,,
motor-oil,Motor Oil,,,,
alliance-global-group,Alliance Global Group,Alliance Global,,,
alliance-global,,,,,
hanesbrands,Hanesbrands,,,,
wanhua-chemical-group,Wanhua Chemical Group,,,,
ncc-group,NCC Group,,,,
akamai-technologies,Akamai Technologies,,,,
awa-bank,Awa Bank,,,,
icade,Icade,,,,
sinomach-automobile,Sinomach Automobile,,,,
sichuan-changhong-electric,Sichuan Changhong Electric,,,,
towers-watson-&-co.,Towers Watson & Co.,Towers Watson&Co,,,
towers-watson&co,,,,,
hanwha-chemical,Hanwha Chemical,,,,
acer,Acer,,,,
gpt-group,GPT Group,,,,
aichi-bank,Aichi Bank,,,,
total-access-communication,Total Access Communication,,,,
makita,Makita,,,,
osram-licht,OSRAM Licht,Osram,,,
osram,,,,,
nippon-steel-trading,Nippon Steel Trading,,,,
jindal-steel-&-power,Jindal Steel & Power,Jindal Steel&Power,,,
jindal-steel&power,,,,,
hyundai-wia,Hyundai Wia,,,,
toho-holdings,Toho Holdings,,,,
vopak,Vopak,,,,
china-fortune-land-development,China Fortune Land Development,,,,
stericycle,Stericycle,,,,
shangri-la-asia,Shangri-La Asia,,,,
range-resources,Range Resources,,,,
western-refining,Western Refining,,,,
sydbank,Sydbank,,,,
new-hope-liuhe,New Hope Liuhe,,,,
toyota-boshoku,Toyota Boshoku,,,,
joy-global,Joy Global,,,,
shui-on-land,Shui On Land,,,,
tpv-technology,TPV Technology,,,,
shandong-iron-and-steel,Shandong Iron and Steel,,,,
caixa-economica-montepio-geral,Caixa Economica Montepio Geral,,,,
inotera-memories,Inotera Memories,,,,
konica-minolta,Konica Minolta,,,,
jaccs,Jaccs,,,,
oceaneering-international,Oceaneering International,,,,
tripadvisor,TripAdvisor,,,,
american-natl-ins,American Natl Ins,,,,
andhra-bank,Andhra Bank,,,,
grasim-industries,Grasim Industries,,,,
tomony-holdings,Tomony Holdings,Tomony,,,
tomony,,,,,
clariant,Clariant,,,,
teradata,Teradata,,,,
fuji-electric,Fuji Electric,,,,
admiral-group-plc,Admiral Group plc,Admiral Group,,,
admiral-group,,,,,
urs,URS,,,,
oshkosh,Oshkosh,,,,
fmc,FMC,,,,
prysmian,Prysmian,,,,
jsw-steel,JSW Steel,,,,
yunnan-yuntianhua,Yunnan Yuntianhua,,,,
meiji-holdings,Meiji Holdings,,,,
odakyu-electric-railway,Odakyu Electric Railway,,,,
arab-banking,Arab Banking,,,,
pakistan-state-oil,Pakistan State Oil,,,,
shikoku-bank,Shikoku Bank,,,,
cameco,Cameco,,,,
bmce-bank,BMCE Bank,Bmce,,,
bmce,,,,,
synovus-financial,Synovus Financial,Synovus,,,
synovus,,,,,
equifax,Equifax,,,,
uny-group-holdings,UNY Group Holdings,Uny Group,,,
uny-group,,,,,
ey,Ernst & Young,EY,Ernst&Young,,
ernst&young,,,,,
pwc,Price Waterhouse Coopers,PWC,,,
price-waterhouse-coopers,,,,,
kpmg,KPMG,KPMG,,,
deloitte,Deloitte Touche Tohmatsu Limited,Deloitte,,,
uber,UBER,Uber,,,
spotify,Spotify,,,,
alibaba,Alibaba,,,,
